"repository"	"disposition"	"sha256"	"path"
"TagEkyc"	"SEAL_NOT_REMINTED"	"9E4879178F7AA3C7BB58C26F45B873C205C9209CEEA57FDA9971710CF6D648E1"	"docs/tips/tip_88c1_secure_raw_source_sealed_assembly/a3_activation_evidence_seal_v1.tsv"
"TagEkyc"	"GOVERNANCE_FROZEN"	"40B38054A92155DEF491BEC099F54F427213F30CF7FF6FEB76753B91A2C3F822"	"docs/tips/tip_88c1_secure_raw_source_sealed_assembly/a3_activation_scope_deferred_backlog_v1.tsv"
"TagEkyc"	"CURRENT_EMPTY_PARTITION"	"BE0C0E1A2B82BF4B9E8B10387F58D4589A71233DCD3483573B6C344D6798B136"	"docs/tips/tip_88c1_secure_raw_source_sealed_assembly/a3_activation_scope_partition_v1.tsv"
"TagEkyc"	"W2_AUTHORITY"	"DD6633D7D31377CA5489EA7DD0E66E4D7DD6D6F0F9A48406C49DEC54F824AD19"	"docs/tips/tip_88c1_secure_raw_source_sealed_assembly/a3_macro_wave_w2_authority_decision_packet_v2.md"
"TagEkyc"	"W2_AUTHORITY"	"01844026A2A55C6DE2E5EC2E3462B3EDC985145E6FC3AA858282089F976A6ADA"	"docs/tips/tip_88c1_secure_raw_source_sealed_assembly/a3_macro_wave_w2_homeowner_scope_decision_v1.md"
"TagEkyc"	"GOVERNANCE_FROZEN"	"2DA0A4C5586C54FBED422B7474EE72DC0B224D3A150B6E54C14382D4C03E962F"	"docs/tips/tip_88c1_secure_raw_source_sealed_assembly/a3_outcome_ownership_table_v1.tsv"
"TagEkyc"	"PREDECESSOR_MANIFEST"	"FCF6B38EFF3714225CD9F95237B5BB862F51E5900642B50078B675EAC23B1423"	"docs/tips/tip_88c1_secure_raw_source_sealed_assembly/raw_export_delivery_combined_review_manifest_v1.tsv"
"TagEkyc"	"PREDECESSOR_PACKET"	"8558CF169F1AC18132C113C73AFED6013409DE136A55B7A013544A1E4EFD9821"	"docs/tips/tip_88c1_secure_raw_source_sealed_assembly/raw_export_delivery_combined_review_packet_v1.md"
"TagEkyc"	"FAILED_RUN_CENSUS"	"CB4EF84A0375A816CD3F9BEF31B3C225D0A9B78FAE3633B39EC07FAFB14CA26B"	"docs/tips/tip_88c1_secure_raw_source_sealed_assembly/raw_export_delivery_failed_run_census_v2.tsv"
"TagEkyc"	"IMPLEMENTATION_AUTHORITY"	"770B7ABB127A5F7B11C33A6699B7731E9A64DAD82EB37A1C6478A83BCFD114B7"	"docs/tips/tip_88c1_secure_raw_source_sealed_assembly/raw_export_delivery_homeowner_build_authority_v1.md"
"TagEkyc"	"WHOLE_REPO_INVENTORY"	"C315970886983CC27691E891E708679DBD605B033323336D267EC4601151CE02"	"docs/tips/tip_88c1_secure_raw_source_sealed_assembly/raw_export_delivery_whole_repo_trx_inventory_v2.tsv"
"TagEkyc"	"STANDALONE_SDK_CLIENT"	"A6EC98F431A3709AC3FF3988190D20B028EB65B0C027E3F1C5F00AFA72CB7EF8"	"sdk/TagEkyc.RawExport.Client/README.md"
"TagEkyc"	"STANDALONE_SDK_CLIENT"	"F1600AB498B817D611BCB4CBCD370D788B406151A1D864656BE9A465678FE9A0"	"sdk/TagEkyc.RawExport.Client/TagEkyc.RawExport.Client.csproj"
"TagEkyc"	"STANDALONE_SDK_CLIENT"	"96384ED9D73838A2B3D47FB3D5736ACC9B0F649724F2EC146FB68863415B4B5A"	"sdk/TagEkyc.RawExport.Client/TagEkycRawExportClient.cs"
"TagEkyc"	"STANDALONE_SDK_CLIENT"	"12F8D7141B71DC959CA71B217EDCC19D9498D64C3CCFF098A64E08BB066E0666"	"sdk/TagEkyc.RawExport.Client/TagEkycRawExportModels.cs"
"TagEkyc"	"STANDALONE_SDK_CLIENT"	"F41769962F0479841FD1C6C86C6AC9056BB1CB6C8BEEDDBC5171E7EA16EFFBD1"	"sdk/TagEkyc.RawExport.Client/TagEkycRecipientPackageDecoder.cs"
"TagEkyc"	"PRODUCT_SOURCE_AUTHORIZED"	"909EFC94484A7E67F01ECF79962B9615570DEB1771B72A41FF231DDAA3093F26"	"src/TagEkyc.Api/Program.cs"
"TagEkyc"	"PRODUCT_SOURCE_AUTHORIZED"	"57BBD70CA00B92362496064097B288A6A71FFA47267F50B1AFC39BBC3512B41C"	"src/TagEkyc.Api/RawExportControlPlaneEndpoints.cs"
"TagEkyc"	"PRODUCT_SOURCE_AUTHORIZED"	"F3797BF0C96F248C982972B7AAFEB29E27564FA5AF93712898D45E1AA18E5C95"	"src/TagEkyc.Application/Ports/RawExportControlPlanePorts.cs"
"TagEkyc"	"PRODUCT_SOURCE_AUTHORIZED"	"821D387B4EA241D113D3DAE8EDE40D7ADA62137FE160AE4FD8A4EE04A42DBA95"	"src/TagEkyc.Application/Ports/RecipientManagementPorts.cs"
"TagEkyc"	"PRODUCT_SOURCE_AUTHORIZED"	"0C0BACCF2B4AFAEE87C1FA1D52DD5995F159C967443D2F5DFEC07AA5441BD177"	"src/TagEkyc.Application/RawExport/RawExportControlPlaneApplicationService.cs"
"TagEkyc"	"PRODUCT_SOURCE_AUTHORIZED"	"D898439366F140689CF1975C03402E18DC415DFD2EBA5AA2CAE68506C592F557"	"src/TagEkyc.Application/RawExport/RecipientManagementApplicationService.cs"
