action	path	old_sha256	new_sha256
ADDED	server/docs/tips/tip_88c1_secure_raw_source_sealed_assembly/a3_macro_wave_partition_v1.tsv		6BDC6E6DFEE4D2096285D96565FA52E40467BB06C2FEFB259B7241F29B1AC95A
ADDED	server/docs/tips/tip_88c1_secure_raw_source_sealed_assembly/a3_macro_wave_partition_verify.ps1		8C81A77A9F7BE88B5F6778D370A91154480C556053583DF4AB54E7CBCE63DC65
ADDED	server/docs/tips/tip_88c1_secure_raw_source_sealed_assembly/a3_macro_wave_scratch_evidence_v1.tsv		3CCA22D4E0B6FF44FAB9C3587481C31B1238D7D61FBEDE13F12ACFA1BB418C4E
ADDED	server/docs/tips/tip_88c1_secure_raw_source_sealed_assembly/a3_macro_wave_w1_r2r6_failed_run_census.tsv		0DD52461294E269D16CA2D481F0A24DAA5ADB408A3074565CC616BF7EB6C17EF
ADDED	server/docs/tips/tip_88c1_secure_raw_source_sealed_assembly/a3_macro_wave_w1_r2r6_review_packet_v1.md		737CFDEB6B3FE5B2B978144C4492A514BDB74CECDECA1BE4F4A200D5BB7EAF9C
ADDED	server/docs/tips/tip_88c1_secure_raw_source_sealed_assembly/a3_macro_wave_w1_r2r6_trx_inventory.tsv		780C8B845F4DE53EC2ECE313D4ED40A716FDA212A8CA5CFEB152FF05F0C8B263
ADDED	server/docs/tips/tip_88c1_secure_raw_source_sealed_assembly/a3_macro_wave_w1_ratification_v1.md		AE01C9C4FC554382B00DEBF91987F9881F24C3045566437FE11BCBAD418B6AAE
ADDED	server/docs/tips/tip_88c1_secure_raw_source_sealed_assembly/a3_macro_wave_w1_verify.ps1		F418A858C42DC9728D85C350CE6014099C7C4E41F42FD6A1A628604299C0AB38
MODIFIED	server/docs/tips/tip_88c1_secure_raw_source_sealed_assembly/a3_preflight_recorded_mutants.tsv	C0F15CE4B4B73B7F0044ED11EBAD6790649A300335883D105D53C7D8FBE7E22F	64D31720CA68FD60F9804286E5B86F31C5218E4662B9FCA4387360C1756AFB1E
MODIFIED	server/docs/tips/tip_88c1_secure_raw_source_sealed_assembly/a3_r2r6_remaining_cluster_execution_matrix_v2.md	35CACA28B32192169B018036D25DF7A353F6DFAC1E65EEF069AF4BF4F77A0A5E	555E2AD262699DB1766186173A668BABB75B9C86CA0C04391A8260471B3B53DE
MODIFIED	server/docs/tips/tip_88c1_secure_raw_source_sealed_assembly/a3_r2r6_remaining_cluster_ratification_v1.md	C5AB866A11B1FF00622D7734804731273BDE08704DAA0F3FC7FA7A871CE13F29	2FAA0176A2D63A18C644CF4F792D854013939E07CABF6AF2FA1ABB5B62FC54F0
MODIFIED	server/docs/tips/tip_88c1_secure_raw_source_sealed_assembly/tip_88c1_c6b_a3_proof_reconciliation_v0_2.md	6A0519FA65BB06FCF25014306CB8623437743553920A9A988F7F40DDE500F020	3EBDC000941554B4DC6F7DF71337B13F9914C2542C0874DC74E8C1B9DF06DB0E
ADDED	server/tests/TagEkyc.IntegrationTests/TestResults/a3-w1-go21-adjacent-green-diagnostic.trx		CDC23F9A9A8C5E5CA1274DD63FA7A8C27F8E906BEFAD90FC4D1B822D3EE11A86
ADDED	server/tests/TagEkyc.IntegrationTests/TestResults/a3-w1-go21-broker-projection-red.trx		0DA23087C4BF7A5368AB48F29A193A2216AF2D47EB4509018808565F746726D9
ADDED	server/tests/TagEkyc.IntegrationTests/TestResults/a3-w1-p21-baseline-current.trx		07420ACCB7B6C2FA1508D32C060692D006E1A3BAF2CD439AB2F6FDCF4BADDA2E
ADDED	server/tests/TagEkyc.IntegrationTests/TestResults/a3-w1-r2r6-restored-joined-final.trx		1523CCDB2F07F3A88343FF24D41CE34BBBCD68673D82293814E55602DF9F8351
